name,url,current_price,original_price,discount_pct,rating,review_count
AILYONS FK-0301 Stainless Steel 2.0L Electric Kettle-Black,https://www.jumia.co.ke/ailyons-fk-0301-stainless-steel-2.0l-electric-kettle-black-34080919.html,490,1399,65,3.9,3
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil - Silver & Black (1YR WRTY)",https://www.jumia.co.ke/sonar-stainless-steel-1.8ltr-electric-kettle1.5m-power-cord1500w-fast-boil-silver-black-1yr-wrty-286282202.html,490,749,35,3.9,3
Sonar SR-A3 Hot & Normal Water Dispenser - Plastic - 300x290x840mm - Black,https://www.jumia.co.ke/sonar-sr-a3-hot-normal-water-dispenser-plastic-300x290x840mm-black-325716419.html,2110,3999,47,3.9,3
Em ElectroMate Water Dispenser with Hot and Normal White Water Dispenser WD01,https://www.jumia.co.ke/em-electromate-water-dispenser-with-hot-and-normal-white-water-dispenser-wd01-279130723.html,2299,5199,56,3.8,3
Vivo 2PCS fibre Pillows Filter Memory Foam Comfortable Home Bedroom Bedding Accessories White With Dots,https://www.jumia.co.ke/vivo-2pcs-fibre-pillows-filter-memory-foam-comfortable-home-bedroom-bedding-accessories-white-with-dots-327839230.html,440,699,37,4.3,4
AILYONS 2L Stainless Steel Electric Kettle | 1500W Fast Boil | Auto Shut-Off | Boil Dry Protection | 1 Year Warranty,https://www.jumia.co.ke/ailyons-2l-stainless-steel-electric-kettle-1500w-fast-boil-auto-shut-off-boil-dry-protection-1-year-warranty-327619366.html,470,570,18,4.0,4
"Sonar X2 Stainless Steel 2.0L Electric Kettle, 1.5M Power Cord, 1500W Fast Boil - Silver & Black (1YR WRTY)",https://www.jumia.co.ke/sonar-x2-stainless-steel-2.0l-electric-kettle-1.5m-power-cord-1500w-fast-boil-silver-black-1yr-wrty-328048000.html,530,650,19,4.0,4
Lyons Electric Dry Iron 1000W Non-Stick Soleplate Fast Heating Iron Box AN-2005,https://www.jumia.co.ke/lyons-electric-dry-iron-1000w-non-stick-soleplate-fast-heating-iron-box-an-2005-327792798.html,650,750,13,3.9,3
Em Dry Iron Box 1000W with 5-Gear Temperature Control - Bluw/White IB01 (1YR WRTY),https://www.jumia.co.ke/em-dry-iron-box-1000w-with-5-gear-temperature-control-bluwwhite-ib01-1yr-wrty-279458590.html,649,1399,54,3.8,3
Smartraha life RahaLife 130CM 3 Column Portable Fabric Cloth Wardrobe Wardrobe - Gray 8 Shelves & Hanging Section,https://www.jumia.co.ke/smartraha-life-rahalife-130cm-3-column-portable-fabric-cloth-wardrobe-wardrobe-gray-8-shelves-hanging-section-325847039.html,1739,4500,61,3.8,3
